Season_End,Club,Expenditure_million_euro,Cumulative_inflation,Expenditure_million_euro_inflation_adjusted
1996,Newcastle,32.2,1.7134,55.17
1996,Liverpool,19.25,1.7134,32.98
1996,Arsenal,18.35,1.7134,31.44
1996,Everton,16.98,1.7134,29.09
1996,Blackburn,16.5,1.7134,28.27
1996,Tottenham,13.37,1.7134,22.91
1996,Middlesbrough,13,1.7134,22.27
1996,Sheffield Weds,12.75,1.7134,21.85
1996,Manchester City,11.76,1.7134,20.15
1996,Aston Villa,11.06,1.7134,18.95
1996,Bolton,9.49,1.7134,16.26
1996,Coventry City,6.25,1.7134,10.71
1996,QPR,5.33,1.7134,9.13
1996,West Ham,4.72,1.7134,8.09
1996,Leeds United,4.7,1.7134,8.05
1996,Nott'ham Forest,3.84,1.7134,6.58
1996,Southampton,2.24,1.7134,3.84
1996,Chelsea,1.9,1.7134,3.26
1996,Wimbledon,0.855,1.7134,1.46
1996,Manchester United,0.575,1.7134,0.99
1997,Newcastle,18,1.6847,30.32
1997,Leeds United,16.63,1.6847,28.02
1997,Middlesbrough,16.28,1.6847,27.43
1997,Chelsea,15.57,1.6847,26.23
1997,West Ham,14.8,1.6847,24.93
1997,Manchester United,11.23,1.6847,18.92
1997,Everton,10.75,1.6847,18.11
1997,Nott'ham Forest,9.69,1.6847,16.32
1997,Sheffield Weds,9.04,1.6847,15.23
1997,Leicester City,8.94,1.6847,15.06
1997,Tottenham,8.25,1.6847,13.90
1997,Aston Villa,8.1,1.6847,13.65
1997,Coventry City,8,1.6847,13.48
1997,Sunderland,7.43,1.6847,12.52
1997,Arsenal,6.11,1.6847,10.29
1997,Derby County,3.79,1.6847,6.39
1997,Liverpool,3.5,1.6847,5.90
1997,Southampton,3.24,1.6847,5.46
1997,Wimbledon,2.88,1.6847,4.85
1997,Blackburn,0,1.6847,0.00
1998,Newcastle,33.59,1.6643,55.90
1998,Arsenal,22.03,1.6643,36.66
1998,Liverpool,18.55,1.6643,30.87
1998,Chelsea,17.8,1.6643,29.62
1998,Tottenham,17.7,1.6643,29.46
1998,Leeds United,15.91,1.6643,26.48
1998,Bolton,14.21,1.6643,23.65
1998,Crystal Palace,13.7,1.6643,22.80
1998,Manchester United,13.55,1.6643,22.55
1998,West Ham,12.6,1.6643,20.97
1998,Sheffield Weds,10.99,1.6643,18.29
1998,Aston Villa,10.5,1.6643,17.48
1998,Blackburn,10.13,1.6643,16.86
1998,Southampton,8.88,1.6643,14.78
1998,Everton,8.33,1.6643,13.86
1998,Barnsley,6.93,1.6643,11.53
1998,Wimbledon,5.21,1.6643,8.67
1998,Coventry City,4.65,1.6643,7.74
1998,Derby County,3.8,1.6643,6.32
1998,Leicester City,3.65,1.6643,6.07
1999,Blackburn,56.39,1.645,92.76
1999,Manchester United,44.75,1.645,73.61
1999,Aston Villa,42.8,1.645,70.41
1999,Newcastle,42.6,1.645,70.08
1999,Everton,29.65,1.645,48.77
1999,Chelsea,19.3,1.645,31.75
1999,Wimbledon,16.75,1.645,27.55
1999,Arsenal,15.95,1.645,26.24
1999,Liverpool,13.49,1.645,22.19
1999,Middlesbrough,12.08,1.645,19.87
1999,West Ham,11.14,1.645,18.33
1999,Tottenham,9.78,1.645,16.09
1999,Leicester City,8.9,1.645,14.64
1999,Nott'ham Forest,8.8,1.645,14.48
1999,Leeds United,8.45,1.645,13.90
1999,Coventry City,7.7,1.645,12.67
1999,Southampton,7.3,1.645,12.01
1999,Charlton,6.19,1.645,10.18
1999,Derby County,5.69,1.645,9.36
1999,Sheffield Weds,4.61,1.645,7.58
2000,Liverpool,54.5,1.6098,87.73
2000,Leeds United,35.71,1.6098,57.49
2000,Newcastle,27.25,1.6098,43.87
2000,Chelsea,26.36,1.6098,42.43
2000,Arsenal,25.4,1.6098,40.89
2000,Coventry City,20.33,1.6098,32.73
2000,Tottenham,17,1.6098,27.37
2000,Sunderland,16.7,1.6098,26.88
2000,Derby County,16.4,1.6098,26.40
2000,Middlesbrough,10.32,1.6098,16.61
2000,Aston Villa,9.6,1.6098,15.45
2000,Wimbledon,8.25,1.6098,13.28
2000,Sheffield Weds,8,1.6098,12.88
2000,Manchester United,7.95,1.6098,12.80
2000,West Ham,7.78,1.6098,12.52
2000,Everton,7.6,1.6098,12.23
2000,Leicester City,6.3,1.6098,10.14
2000,Watford,4.4,1.6098,7.08
2000,Southampton,3.43,1.6098,5.52
2000,Bradford City,2.69,1.6098,4.33
2001,Arsenal,56.3,1.5716,88.48
2001,Leeds United,53.15,1.5716,83.53
2001,Chelsea,52.39,1.5716,82.34
2001,Everton,34.48,1.5716,54.19
2001,Liverpool,34,1.5716,53.43
2001,Middlesbrough,33.47,1.5716,52.60
2001,Newcastle,25.91,1.5716,40.72
2001,Tottenham,25.74,1.5716,40.45
2001,Aston Villa,21.12,1.5716,33.19
2001,Charlton,20.8,1.5716,32.69
2001,Manchester City,20.28,1.5716,31.87
2001,Coventry City,19,1.5716,29.86
2001,West Ham,18.65,1.5716,29.31
2001,Sunderland,16.87,1.5716,26.51
2001,Derby County,13.33,1.5716,20.95
2001,Manchester United,11.7,1.5716,18.39
2001,Leicester City,11.7,1.5716,18.39
2001,Ipswich Town,9.6,1.5716,15.09
2001,Bradford City,6.61,1.5716,10.39
2001,Southampton,0,1.5716,0.00
2002,Manchester United,85.85,1.5367,131.93
2002,Fulham,50.6,1.5367,77.76
2002,Chelsea,49.7,1.5367,76.37
